"X";"Y";"X_dms";"Y-dms";"primaryind";"nummer";"brunnenart";"historisch";"wasserart_";"bezeichnun"
8.5410517045;47.3695066663;"E8°32'27.78""";"N47°22'10.22""";69;519;"Brunnen in städtischer Liegenschaft";1913;"Quellwasser";"im Durchgang Stadthaus u. Kirche"
8.5024740953;47.3651631025;"E8°30'8.906""";"N47°21'54.58""";70;6048;"Notwasserbrunnen";1983;"Quellwasser";
8.519050236;47.3686304843;"E8°31'8.580""";"N47°22'7.069""";71;6030;"Notwasserbrunnen";1979;"Quellwasser";"bei Kollerwiese"
8.5227589332;47.3685463763;"E8°31'21.93""";"N47°22'6.766""";72;987;"Brunnen in städtischer Liegenschaft";1975;"Verteilnetz";"Spielplatz"
8.5203732179;47.3712323088;"E8°31'13.34""";"N47°22'16.43""";73;172;"öffentlicher Brunnen";1873;"Quellwasser";
8.5205449974;47.3700164665;"E8°31'13.96""";"N47°22'12.05""";74;1167;"öffentlicher Brunnen";1993;"Quellwasser";"Schmiede Wiedikon"
8.517801248;47.3705971782;"E8°31'4.084""";"N47°22'14.14""";75;171;"öffentlicher Brunnen";1873;"Verteilnetz";
8.5175779066;47.3693355045;"E8°31'3.280""";"N47°22'9.607""";76;178;"öffentlicher Brunnen";1937;"Verteilnetz";
8.5171970373;47.3683516223;"E8°31'1.909""";"N47°22'6.065""";77;183;"öffentlicher Brunnen";1953;"Verteilnetz";
8.5106755263;47.3679738762;"E8°30'38.43""";"N47°22'4.705""";78;206;"öffentlicher Brunnen";1943;"Verteilnetz";
8.5159289398;47.3660657878;"E8°30'57.34""";"N47°21'57.83""";79;6024;"Notwasserbrunnen";1979;"Quellwasser";
8.5168936489;47.3675431489;"E8°31'0.817""";"N47°22'3.155""";80;556;"Brunnen in städtischer Liegenschaft";1938;"Verteilnetz";"Kindergartengebäude"
8.5119146441;47.3701729656;"E8°30'42.89""";"N47°22'12.62""";81;6025;"Notwasserbrunnen";1979;"Quellwasser";
8.5135407236;47.3700968665;"E8°30'48.74""";"N47°22'12.34""";82;211;"öffentlicher Brunnen";1959;"Quellwasser";"Goldbrunnenplatz"
8.5300840064;47.3658201225;"E8°31'48.30""";"N47°21'56.95""";83;110;"öffentlicher Brunnen";;"Quellwasser";"Gutenbergstrasse"
8.5233836546;47.3691288822;"E8°31'24.18""";"N47°22'8.863""";84;209;"öffentlicher Brunnen";1946;"Verteilnetz";"Anlage"
8.5300992583;47.3712987124;"E8°31'48.35""";"N47°22'16.67""";85;240;"öffentlicher Brunnen";1950;"Verteilnetz";
8.5280684864;47.3712295972;"E8°31'41.04""";"N47°22'16.42""";86;214.1;"öffentlicher Brunnen";1987;"Quellwasser";"Trinkbrunnen"
8.4956967145;47.367997817;"E8°29'44.50""";"N47°22'4.792""";87;506;"öffentlicher Brunnen";1970;"Verteilnetz";"Tramhaltestelle"
8.4954523871;47.3675833553;"E8°29'43.62""";"N47°22'3.300""";88;426;"öffentlicher Brunnen";1941;"Quellwasser";
8.5395896439;47.3716495306;"E8°32'22.52""";"N47°22'17.93""";89;760;"privater Brunnen";;"Quellwasser";"neben der Augustinerkirche"
8.5400880292;47.3693139101;"E8°32'24.31""";"N47°22'9.530""";90;35;"öffentlicher Brunnen";1877;"Verteilnetz";"Zentralhof"
8.5343105475;47.3686964569;"E8°32'3.517""";"N47°22'7.307""";91;151;"öffentlicher Brunnen";1940;"Verteilnetz";
8.5327333212;47.3681853003;"E8°31'57.83""";"N47°22'5.467""";92;780;"privater Brunnen";;"Verteilnetz";
8.5320645468;47.3695565748;"E8°31'55.43""";"N47°22'10.40""";93;21;"öffentlicher Brunnen";1859;"Verteilnetz";
8.5415475638;47.3695981086;"E8°32'29.57""";"N47°22'10.55""";94;1090;"öffentlicher Brunnen";1742;"Quellwasser";"Fraumünsterdurchgang"
8.5414035543;47.3701668891;"E8°32'29.05""";"N47°22'12.60""";95;6006;"Notwasserbrunnen";1977;"Quellwasser";
8.5394107563;47.3700754021;"E8°32'21.87""";"N47°22'12.27""";96;3;"öffentlicher Brunnen";1872;"Quellwasser";"Junobrunnen beim Paradeplatz"
8.5236515053;47.3670710953;"E8°31'25.14""";"N47°22'1.455""";97;198;"öffentlicher Brunnen";1931;"Verteilnetz";"beim Kiosk (Anlagage Sihlhölzli)"
8.5261569155;47.3679160299;"E8°31'34.16""";"N47°22'4.497""";98;199.2;"öffentlicher Brunnen";1931;"Verteilnetz";
8.5251172979;47.3672365618;"E8°31'30.42""";"N47°22'2.051""";99;199.3;"öffentlicher Brunnen";1931;"Verteilnetz";
8.537832832;47.3646187652;"E8°32'16.19""";"N47°21'52.62""";100;125;"öffentlicher Brunnen";1909;"Verteilnetz";"Mosaikbrunnen"
8.5372530224;47.3672526502;"E8°32'14.11""";"N47°22'2.109""";101;6020;"Notwasserbrunnen";1978;"Quellwasser";
8.5315456023;47.3676719395;"E8°31'53.56""";"N47°22'3.618""";102;94;"öffentlicher Brunnen";1770;"Quellwasser";"Delphinbrunnen"
8.5373191426;47.3684327433;"E8°32'14.34""";"N47°22'6.357""";103;54;"öffentlicher Brunnen";1933;"Verteilnetz";
8.5360752374;47.3691503739;"E8°32'9.870""";"N47°22'8.941""";104;1065;"öffentlicher Brunnen";1982;"Verteilnetz";"Bärenplätzli"
8.5358176369;47.3713134735;"E8°32'8.943""";"N47°22'16.72""";105;18;"öffentlicher Brunnen";1820;"Verteilnetz";
8.5416000271;47.3670699584;"E8°32'29.76""";"N47°22'1.451""";106;46;"öffentlicher Brunnen";1911;"Quellwasser";"Geiserbrunnen"
8.5400080047;47.3670107701;"E8°32'24.02""";"N47°22'1.238""";107;45;"öffentlicher Brunnen";1909;"Verteilnetz";"Rebekkabrunnen"
8.5355083485;47.3634454445;"E8°32'7.830""";"N47°21'48.40""";108;156;"öffentlicher Brunnen";1945;"Verteilnetz";
8.4958706574;47.3623180335;"E8°29'45.13""";"N47°21'44.34""";109;776;"privater Brunnen";;"Verteilnetz";"Hotel Atlantis"
8.5014530405;47.3639834937;"E8°30'5.230""";"N47°21'50.34""";110;196;"öffentlicher Brunnen";1930;"Verteilnetz";"Spielplatz Friesenberg"
8.5054149527;47.360237459;"E8°30'19.49""";"N47°21'36.85""";111;558.1;"Brunnen in städtischer Liegenschaft";1931;"Verteilnetz";"Schulhaus Friesenberg"
8.5057544708;47.3586842726;"E8°30'20.71""";"N47°21'31.26""";112;558.2;"Brunnen in städtischer Liegenschaft";1931;"Verteilnetz";"Schulhaus Friesenberg"
8.5269031936;47.3583545392;"E8°31'36.85""";"N47°21'30.07""";113;6064;"Notwasserbrunnen";1987;"Quellwasser";
8.5089635054;47.3576382135;"E8°30'32.26""";"N47°21'27.49""";114;204;"öffentlicher Brunnen";1937;"Quellwasser";
8.5144072734;47.3578045729;"E8°30'51.86""";"N47°21'28.09""";115;203;"öffentlicher Brunnen";1937;"Verteilnetz";"Ecke Uetlibergstrasse"
8.5116093893;47.3589016283;"E8°30'41.79""";"N47°21'32.04""";116;559;"Brunnen in städtischer Liegenschaft";1947;"Verteilnetz";"Schulpavillon"
8.5291341192;47.3627453503;"E8°31'44.88""";"N47°21'45.88""";117;122;"öffentlicher Brunnen";1906;"Quellwasser";"Anlage bei Kirche Enge"
8.5356831895;47.3594439014;"E8°32'8.459""";"N47°21'33.99""";118;126;"öffentlicher Brunnen";1909;"Verteilnetz";
8.5359734342;47.3587164023;"E8°32'9.504""";"N47°21'31.37""";119;960.2;"öffentlicher Brunnen";;"Verteilnetz";"Seerestaurant"
8.5361508435;47.3588653495;"E8°32'10.14""";"N47°21'31.91""";120;960.1;"öffentlicher Brunnen";;"Verteilnetz";"Seerestaurant"
8.528074159;47.357425586;"E8°31'41.06""";"N47°21'26.73""";121;132;"öffentlicher Brunnen";1926;"Verteilnetz";
8.5292964133;47.3593186132;"E8°31'45.46""";"N47°21'33.54""";122;100;"öffentlicher Brunnen";1887;"Verteilnetz";
8.5305933147;47.3577412514;"E8°31'50.13""";"N47°21'27.86""";123;534;"Brunnen in städtischer Liegenschaft";;"Verteilnetz";"Rieterpark"
8.5294367656;47.3602951609;"E8°31'45.97""";"N47°21'37.06""";124;535.1;"Brunnen in städtischer Liegenschaft";1887;"Verteilnetz";"Schulhaus Gabler"
8.5308196482;47.3577798321;"E8°31'50.95""";"N47°21'28.00""";125;1176;"Brunnen in städtischer Liegenschaft";1888;"Verteilnetz";"Rieterpark"
8.5319036804;47.3957249783;"E8°31'54.85""";"N47°23'44.60""";126;460;"öffentlicher Brunnen";1936;"Verteilnetz";
8.5364131597;47.3983052533;"E8°32'11.08""";"N47°23'53.89""";127;298;"öffentlicher Brunnen";1942;"Verteilnetz";
8.5367250109;47.3949454995;"E8°32'12.21""";"N47°23'41.80""";128;288;"öffentlicher Brunnen";1930;"Verteilnetz";"Schulhaus Milchbuck"
8.5223655681;47.393012178;"E8°31'20.51""";"N47°23'34.84""";129;457;"öffentlicher Brunnen";1930;"Quellwasser";
8.5227979921;47.3862406339;"E8°31'22.07""";"N47°23'10.46""";130;250;"öffentlicher Brunnen";1928;"Quellwasser";"Josefswiese"
8.5302345041;47.3913934481;"E8°31'48.84""";"N47°23'29.01""";131;640.1;"Brunnen in städtischer Liegenschaft";1938;"Verteilnetz";"Turnhalle und hinter Spielwiese"
8.5301956018;47.3928891123;"E8°31'48.70""";"N47°23'34.40""";132;6032;"Notwasserbrunnen";1980;"Quellwasser";
8.5279704956;47.3924490139;"E8°31'40.69""";"N47°23'32.81""";133;444;"öffentlicher Brunnen";1942;"Verteilnetz";
8.5328348763;47.3982034179;"E8°31'58.20""";"N47°23'53.53""";134;302;"öffentlicher Brunnen";1956;"Verteilnetz";
8.5198860638;47.3928691232;"E8°31'11.58""";"N47°23'34.32""";135;647;"Brunnen in städtischer Liegenschaft";1955;"Verteilnetz";"Wasserspielplatz"
8.5315404819;47.3902916455;"E8°31'53.54""";"N47°23'25.04""";136;640.2;"Brunnen in städtischer Liegenschaft";1938;"Verteilnetz";"Turnhalle und hinter Spielwiese"
8.5338206121;47.3887529262;"E8°32'1.754""";"N47°23'19.51""";137;456.1;"öffentlicher Brunnen";1928;"Verteilnetz";"Trinkbrunnen"
8.533686631;47.3886715132;"E8°32'1.271""";"N47°23'19.21""";138;456.2;"öffentlicher Brunnen";1928;"Verteilnetz";"Trinkbrunnen"
8.5338408375;47.3886575305;"E8°32'1.827""";"N47°23'19.16""";139;455;"öffentlicher Brunnen";1929;"Verteilnetz";"Wasserspiel"
8.533092751;47.3892268662;"E8°31'59.13""";"N47°23'21.21""";140;637;"Brunnen in städtischer Liegenschaft";1914;"Verteilnetz";"Schulhaus Letten Im Hofe"
8.5312498803;47.3895902181;"E8°31'52.49""";"N47°23'22.52""";141;463;"öffentlicher Brunnen";1955;"Verteilnetz";"Vorplatz Kirche Letten"
8.5360500692;47.3865884473;"E8°32'9.780""";"N47°23'11.71""";142;1041;"Brunnen in städtischer Liegenschaft";1979;"Verteilnetz";"Schindlergut"
8.5364249876;47.3911357745;"E8°32'11.12""";"N47°23'28.08""";143;6031;"Notwasserbrunnen";1980;"Quellwasser";
8.5355400867;47.3931740634;"E8°32'7.944""";"N47°23'35.42""";144;269;"öffentlicher Brunnen";1905;"Quellwasser";
8.5264294799;47.3910561173;"E8°31'35.14""";"N47°23'27.80""";145;513;"öffentlicher Brunnen";1904;"Verteilnetz";"Restaurant Rose"
8.524600116;47.3923205092;"E8°31'28.56""";"N47°23'32.35""";146;440;"öffentlicher Brunnen";1883;"Verteilnetz";
8.4954894977;47.3791239757;"E8°29'43.76""";"N47°22'44.84""";147;422;"öffentlicher Brunnen";1936;"Quellwasser";"vav. Sportplatz Utogrund"
8.4959208826;47.3793368184;"E8°29'45.31""";"N47°22'45.61""";148;920.1;"Brunnen in städtischer Liegenschaft";;"Verteilnetz";"Sportplatz Utogrund"
8.5112662728;47.3794492258;"E8°30'40.55""";"N47°22'46.01""";149;241;"öffentlicher Brunnen";1967;"Verteilnetz";"Bänkelsänger"
8.5127324189;47.3800465046;"E8°30'45.83""";"N47°22'48.16""";150;234.1;"öffentlicher Brunnen";1933;"Verteilnetz";
8.5119509068;47.3792412602;"E8°30'43.02""";"N47°22'45.26""";151;234.3;"öffentlicher Brunnen";1933;"Verteilnetz";
8.514660896;47.3808261437;"E8°30'52.77""";"N47°22'50.97""";152;568.2;"Brunnen in städtischer Liegenschaft";1918;"Verteilnetz";"Schulhaus Sihlfeld"
8.5043683644;47.3799426976;"E8°30'15.72""";"N47°22'47.79""";153;564;"öffentlicher Brunnen";1955;"Verteilnetz";"Heiligfeld, beim Hügel"
8.5031244568;47.3811888559;"E8°30'11.24""";"N47°22'52.27""";154;507;"öffentlicher Brunnen";1930;"Quellwasser";"Tramwartehäuschen"
8.4987257115;47.3849615837;"E8°29'55.41""";"N47°23'5.861""";155;1159;"öffentlicher Brunnen";1991;"Verteilnetz";
8.5354286117;47.3823478215;"E8°32'7.543""";"N47°22'56.45""";156;252.2;"öffentlicher Brunnen";1930;"Quellwasser";"Trinkbrunnen"
8.5320050839;47.3823505799;"E8°31'55.21""";"N47°22'56.46""";157;578;"Brunnen in städtischer Liegenschaft";1964;"Quellwasser";"Gewerbeschulhaus"
8.5329681438;47.3820667238;"E8°31'58.68""";"N47°22'55.44""";158;1030;"Brunnen in städtischer Liegenschaft";1978;"Verteilnetz";"Im Hof"
8.5263961554;47.3850924755;"E8°31'35.02""";"N47°23'6.332""";159;251;"öffentlicher Brunnen";1929;"Verteilnetz";
8.5334228485;47.3834313183;"E8°32'0.322""";"N47°23'0.352""";160;248;"öffentlicher Brunnen";1910;"Quellwasser";
8.5344348697;47.3830875285;"E8°32'3.965""";"N47°22'59.11""";161;580.1;"Brunnen in städtischer Liegenschaft";;"Quellwasser";"Schulhaus Limmat, Im Hofe"
8.515056932;47.3800455128;"E8°30'54.20""";"N47°22'48.16""";162;769;"privater Brunnen";1957;"Verteilnetz";"bei der Bullingerkirche"
8.5159578498;47.3796189152;"E8°30'57.44""";"N47°22'46.62""";163;230;"öffentlicher Brunnen";1929;"Verteilnetz";"Wasserspiel"
8.5151649194;47.3811654831;"E8°30'54.59""";"N47°22'52.19""";164;568.1;"Brunnen in städtischer Liegenschaft";1918;"Quellwasser";"Schulhaus Sihlfeld"
8.5288793949;47.3818987644;"E8°31'43.96""";"N47°22'54.83""";165;1132;"öffentlicher Brunnen";1991;"Verteilnetz";
8.5262986566;47.3799721155;"E8°31'34.67""";"N47°22'47.89""";166;216;"privater Brunnen";1903;"Quellwasser";
8.52977007;47.3849965437;"E8°31'47.17""";"N47°23'5.987""";167;247;"öffentlicher Brunnen";1909;"Quellwasser";
8.5290321777;47.3857762877;"E8°31'44.51""";"N47°23'8.794""";168;577;"Brunnen in städtischer Liegenschaft";1909;"Verteilnetz";"Im Hofe"
8.5282949614;47.3852273013;"E8°31'41.86""";"N47°23'6.818""";169;246;"öffentlicher Brunnen";1905;"Verteilnetz";
8.5159957867;47.3825596125;"E8°30'57.58""";"N47°22'57.21""";170;567;"Brunnen in städtischer Liegenschaft";;"Quellwasser";"Schulhaus Hard"
8.5027918285;47.3775597561;"E8°30'10.05""";"N47°22'39.21""";171;207;"öffentlicher Brunnen";1944;"Verteilnetz";
8.5340091985;47.3758167453;"E8°32'2.433""";"N47°22'32.94""";172;221;"öffentlicher Brunnen";;"Verteilnetz";
8.4990119788;47.3781595926;"E8°29'56.44""";"N47°22'41.37""";173;6014;"Notwasserbrunnen";1978;"Quellwasser";"Südecke Freibad"
8.5069171567;47.377530172;"E8°30'24.90""";"N47°22'39.10""";174;551;"Brunnen in städtischer Liegenschaft";1933;"Verteilnetz";"Friedhof Sihlfeld D"
8.5062565904;47.378676423;"E8°30'22.52""";"N47°22'43.23""";175;1150;"öffentlicher Brunnen";1991;"Verteilnetz";"Pilgerbrunnen"
8.5101788827;47.373827555;"E8°30'36.64""";"N47°22'25.77""";176;552.2;"Brunnen in städtischer Liegenschaft";1912;"Verteilnetz";"Friedhof Sihlfeld B"
8.4959617559;47.3745573389;"E8°29'45.46""";"N47°22'28.40""";177;419;"öffentlicher Brunnen";1932;"Quellwasser";
8.5097261872;47.3783189269;"E8°30'35.01""";"N47°22'41.94""";178;193;"öffentlicher Brunnen";1929;"Verteilnetz";"Albisriederplatz"
8.5210549731;47.3760826088;"E8°31'15.79""";"N47°22'33.89""";179;239;"öffentlicher Brunnen";1944;"Verteilnetz";
8.5224924097;47.3782991344;"E8°31'20.97""";"N47°22'41.87""";180;569;"Brunnen in städtischer Liegenschaft";;"Quellwasser";"Schulhaus Feldstrasse"
8.5164999476;47.375449237;"E8°30'59.39""";"N47°22'31.61""";181;231;"öffentlicher Brunnen";1929;"Quellwasser";
8.5128222317;47.3728520416;"E8°30'46.16""";"N47°22'22.26""";182;1105;"öffentlicher Brunnen";1985;"Verteilnetz";
8.514548738;47.3742705122;"E8°30'52.37""";"N47°22'27.37""";183;192;"öffentlicher Brunnen";1929;"Verteilnetz";
8.512910207;47.3767192685;"E8°30'46.47""";"N47°22'36.18""";184;174;"öffentlicher Brunnen";1919;"Quellwasser";"Fritschiwiese"
8.5134013758;47.37859605;"E8°30'48.24""";"N47°22'42.94""";185;234.2;"öffentlicher Brunnen";1933;"Verteilnetz";
8.5386077889;47.3740077331;"E8°32'18.98""";"N47°22'26.42""";186;7;"öffentlicher Brunnen";1566;"Quellwasser";"Herkulesbrunnen"
8.5380085722;47.374834532;"E8°32'16.83""";"N47°22'29.40""";187;42;"öffentlicher Brunnen";1986;"Verteilnetz";"Brunnenwibli"
8.5233181662;47.3758865148;"E8°31'23.94""";"N47°22'33.19""";188;1076;"öffentlicher Brunnen";1944;"Verteilnetz";
8.5266752205;47.3762696722;"E8°31'36.03""";"N47°22'34.57""";189;224;"öffentlicher Brunnen";1953;"Quellwasser";
8.5240034062;47.3771512674;"E8°31'26.41""";"N47°22'37.74""";190;237;"öffentlicher Brunnen";1938;"Quellwasser";"Bäckeranlage"
8.525248311;47.3786618152;"E8°31'30.89""";"N47°22'43.18""";191;571;"Brunnen in städtischer Liegenschaft";;"Quellwasser";"Schulhaus Hohlstrasse"
